idstatementnav,Fund_full_Name,Date,StatementOfNav,Investments,ListedSecurities,RegisteredEquities,IpoInvestment,GovernmentBonds,CorporateDebentures,OtherGovernmentSecurities,BankFixedDeposits,OtherInvestments,CurrentAssets,BankBalance,OtherCurrentAssets,CurrentLiabilities,NetAssetValueGross,FundManagementAndDepositoryFee1,FundSupervisorFee1,NetAssetValue,UnitsOutstanding,NavPerUnit,IncomeStatement,Income,RealisedIncome,UnrealisedIncome,Expenses,PreoperatingExpenses,NoticePublicationFee,AuditFee,FundManagementAndDepositaryFee2,FundSupervisorFee2,OtherExpenses,NetIncome,Ticker
847,Sanima Equity Fund,3/13/2021,0,2020329.946,1642336.686,102764.26,0,0,75229,0,200000,0,387043.644,352690.411,34353.233,3582.018,2403791.572,3246.765,286.479,2400258.328,130000,18.4635,0,1034097.683,337453.489,696644.194,23223.548,0,108.506,79.1,20954.191,1848.899,232.852,1010874.135,SAEF
848,Sanima Large Cap Fund,3/13/2021,0,271773.386,179631.286,2484.1,0,0,9658,0,80000,0,923318.963,914115.414,9203.549,672.573,1194419.776,1613.285,94.899,1192711.592,120000,9.9393,0,212.64,203.464,9.176,7501.048,5161.032,100.124,25.682,2059.101,121.124,33.985,-7288.408,SLCF
849,Citizens Mutual Fund 1,3/13/2021,0,860244.506,733787.306,3457.2,0,0,123000,0,0,0,287544.579,267911.977,19632.602,11888.541,1135900.544,2253.315,110.5,1133536.729,82000,13.8236,0,309925.516,129716.654,180208.862,11243.484,0,112.669,55.958,10439.58,520,115.277,298682.032,CMF1
850,Citizens Mutual Fund 2,3/13/2021,0,626298.111,539986.911,2311.2,0,0,84000,0,0,0,193286.683,185165.623,8121.06,6459.542,813125.252,1538.849,55.25,811531.153,56000,14.4916,0,251355.232,106802.476,144552.756,7625.264,0,92.025,55.958,7103.289,260,113.992,243729.968,CMF2
851,Laxmi Unnati Kosh,3/13/2021,0,587845.589,525839.567,2691.022,0,0,34315,0,25000,0,302597.617,295055.782,7541.835,25628.199,864815.007,1166.724,0,863648.283,65262.36,13.2335,0,221370.047,107244.851,114125.196,10524.899,3011.525,168.924,71.297,7142.813,130.34,0,210845.148,LUK
855,NIBL Sahabhagita Fund,3/13/2021,0,340183.187,237149.234,21536.953,0,24497,0,0,57000,0,153846.877,149948.557,3898.32,248.541,493781.523,1116.128,73.895,492591.5,31019.476,15.8801,0,142044.403,99223.548,42820.855,3498.918,0,232.099,74.611,2993.986,198.222,0,138545.485,NIBLSF
857,Nabil Balance Fund -2,3/13/2021,0,1574800.755,1333062.519,5093.523,0,0,174644.713,0,62000,0,130176.101,72757.769,57418.332,11944.466,1693032.39,2286.754,168.144,1690577.492,112000,15.0944,0,562939.741,237560.063,325379.678,17325.813,0,79.973,76.058,15759.542,499.288,910.952,545613.928,NBF2
858,NIC Asia Growth Fund,3/13/2021,0,1156839.745,993004.43,50335.315,0,0,0,20000,93500,0,234408.712,216772.143,17636.569,2729.617,1388518.84,1875.451,110.321,1386533.068,83520,16.6012,0,563749.002,171085.852,392663.15,13810.445,0,88.275,66.667,12646.605,743.918,264.98,549938.557,NICGF
859,NIC Asia Balanced Fund,3/13/2021,0,962740.587,722609.014,35296.573,0,96835,0,0,108000,0,215655.213,198192.395,17462.818,2023.427,1176372.373,1588.908,93.465,1174690,75500,15.5588,0,427962.158,155079.648,272882.51,11809.219,0,92.238,66.667,10752.135,632.479,265.7,416152.939,NICBF
869,NIC Asia Debt Fund,3/13/2021,0,156534.598,67963.374,1156.3,0,0,57414.924,0,30000,0,393891.253,377911.232,15980.021,7324.493,543101.358,25.294,1.487,543074.577,49996.7,10.8622,0,47801.913,37592.047,10209.866,4058.765,1546.222,42.509,43.636,2282.145,134.243,10.01,43743.148,NADDF
